candidate,date,state,cycle,party,pct_estimate,hi,lo,days_until_election,poll_7day_avg,poll_ewa
Trump,2024-09-12,Arizona,2024,REP,46.15125,47.7130175,44.5621775,54,46.15125,46.15125
Harris,2024-09-12,Arizona,2024,DEM,45.5599,47.2056125,43.8310875,54,45.5599,45.5599
Trump,2024-09-11,Arizona,2024,REP,46.2171,47.876045,44.67433,55,46.184174999999996,46.18887857142857
Harris,2024-09-11,Arizona,2024,DEM,45.4487,47.1428525,43.7905675,55,45.5043,45.49635714285715
Trump,2024-09-10,Arizona,2024,REP,46.2445,47.91771,44.6952525,56,46.204283333333336,46.21293108108108
Harris,2024-09-10,Arizona,2024,DEM,45.49245,47.2413375,43.7811075,56,45.50035,45.494667567567575
Trump,2024-09-09,Arizona,2024,REP,46.25945,47.9066,44.704535,57,46.218075,46.22994371428571
Harris,2024-09-09,Arizona,2024,DEM,45.63565,47.3187625,43.869075,57,45.534175,45.54622685714286
Trump,2024-09-08,Arizona,2024,REP,46.1332,47.9585175,44.5075925,58,46.201100000000004,46.19823258642765
Harris,2024-09-08,Arizona,2024,DEM,45.6651,47.4015825,43.99374,58,45.56036,45.58519167733675
Trump,2024-09-07,Arizona,2024,REP,46.0178,47.761665,44.3549675,59,46.17055,46.14335792990793
Harris,2024-09-07,Arizona,2024,DEM,45.57875,47.38128,43.805365,59,45.563424999999995,45.58323258093258
Trump,2024-09-06,Arizona,2024,REP,46.02865,47.7609075,44.42218,60,46.15027857142858,46.11026335493414
Harris,2024-09-06,Arizona,2024,DEM,45.5666,47.2994675,43.6724725,60,45.563878571428575,45.57843388744101
Trump,2024-09-05,Arizona,2024,REP,45.97705,47.6549075,44.33528,61,46.125392857142856,46.073255002119545
Harris,2024-09-05,Arizona,2024,DEM,45.4497,47.288745,43.750995,61,45.54813571428571,45.54266998728274
Trump,2024-09-04,Arizona,2024,REP,45.65985,47.4321175,44.0846275,62,46.045785714285714,45.96151369024297
Harris,2024-09-04,Arizona,2024,DEM,45.3751,47.1616225,43.572285,62,45.53762142857143,45.49737665480222
Trump,2024-09-03,Arizona,2024,REP,45.46035,47.018225,43.85333,63,45.93376428571429,45.82874616149938
Harris,2024-09-03,Arizona,2024,DEM,45.63615,47.2986275,43.9173425,63,45.55815,45.534140280052995
Trump,2024-09-02,Arizona,2024,REP,45.40875,47.0296325,43.9420375,64,45.81223571428571,45.7191169149849
Harris,2024-09-02,Arizona,2024,DEM,45.6443,47.49538,43.9661325,64,45.55938571428572,45.562894654976134
Trump,2024-09-01,Arizona,2024,REP,45.3922,47.03124,43.857245,65,45.70637857142857,45.63471411338333
Harris,2024-09-01,Arizona,2024,DEM,45.59,47.305135,43.88244,65,45.548657142857145,45.56989266258457
Trump,2024-08-31,Arizona,2024,REP,45.35135,46.82811,43.8120875,66,45.611171428571424,45.562149139801654
Harris,2024-08-31,Arizona,2024,DEM,45.61185,47.3030525,44.0212025,66,45.55338571428571,45.58063725915594
Trump,2024-08-30,Arizona,2024,REP,45.2196,46.7481175,43.72399,67,45.49559285714286,45.474958292873424
Harris,2024-08-30,Arizona,2024,DEM,45.52925,47.33443,43.9308075,67,45.548049999999996,45.56755738790091
Trump,2024-08-29,Arizona,2024,REP,45.2421,46.8696325,43.67198,68,45.3906,45.415955234586164
Harris,2024-08-29,Arizona,2024,DEM,45.67405,47.3759075,43.920425,68,45.58010000000001,45.59454113720745
Trump,2024-08-28,Arizona,2024,REP,44.6474,46.3648475,42.9723375,69,45.24596428571429,45.22187120011915
Harris,2024-08-28,Arizona,2024,DEM,45.6767,47.6806225,43.603355,69,45.62318571428572,45.61528879832589
Trump,2024-08-27,Arizona,2024,REP,44.5387,46.5121825,42.52062,70,45.1143,45.04978483604246
Harris,2024-08-27,Arizona,2024,DEM,45.36395,47.4818175,43.1375725,70,45.5843,45.55197819631609
Trump,2024-08-26,Arizona,2024,REP,44.54415,46.6746275,42.36726,71,44.990785714285714,44.922659430849286
Harris,2024-08-26,Arizona,2024,DEM,45.63835,48.1009275,43.2775975,71,45.58344999999999,45.57369357223149
Trump,2024-08-25,Arizona,2024,REP,44.42415,46.3995075,42.50849,72,44.852492857142856,44.79750287585505
